ENSEMBL	SYMBOL	type	dist
ENSG00000105810	CDK6	up	5kb
ENSG00000105967	TFEC	up	5kb
ENSG00000105967	TFEC	up	5kb
ENSG00000159784	FAM131B	up	5kb
ENSG00000159784	FAM131B	up	5kb
ENSG00000159784	FAM131B	up	5kb
ENSG00000165272	AQP3	up	5kb
ENSG00000072041	SLC6A15	up	5kb
ENSG00000072041	SLC6A15	up	5kb
ENSG00000069869	NEDD4	up	5kb
ENSG00000174326	SLC16A11	up	5kb
ENSG00000108854	SMURF2	up	5kb
ENSG00000242259	C22orf39	up	5kb
ENSG00000164932	CTHRC1	dw	-10kb
ENSG00000111321	AC005840.1	dw	-10kb
ENSG00000108846	ABCC3	dw	-10kb
ENSG00000168497	CAVIN2	dw	-10kb
ENSG00000163251	FZD5	dw	-10kb
ENSG00000253958	CLDN23	dw	-5kb
ENSG00000198542	ITGBL1	dw	-5kb
ENSG00000131979	GCH1	dw	-5kb
ENSG00000117318	ID3	dw	-2kb
ENSG00000165804	ZNF219	dw	-2kb
ENSG00000135842	FAM129A	dw	-1kb
ENSG00000135069	PSAT1	dw	-0.5kb
ENSG00000178685	PARP10	dw	0.1kb
ENSG00000124839	RAB17	dw	0.5kb
ENSG00000198001	IRAK4	dw	2kb
ENSG00000198001	IRAK4	dw	2kb
ENSG00000168306	ACOX2	dw	2kb
ENSG00000198001	IRAK4	dw	5kb
ENSG00000135480	KRT7	dw	5kb
ENSG00000141854	MISP3	dw	5kb
ENSG00000066185	ZMYND12	dw	5kb
ENSG00000154122	ANKH	dw	5kb
ENSG00000164241	C5orf63	dw	5kb
ENSG00000099256	PRTFDC1	dw	5kb
ENSG00000119938	PPP1R3C	dw	5kb
ENSG00000119938	PPP1R3C	dw	5kb
ENSG00000175215	CTDSP2	dw	5kb
